# IBKR TWS API message codes, with the grade ib_async assigns each one.
# Source: https://ibkrcampus.com/docs/tws-api/doc/error-handling/error-codes.md (retrieved 2026-08-12)
# ib_async_grade: computed from ib_async.wrapper.warningCodes = {105,110,165,321,329,399,404,434,492,10167}
#   plus the blanket range 2100 <= code < 2200. Everything else is fatal: for a trade that is not
#   isDone(), ib_async sets orderStatus.status = Cancelled locally and emits cancelledEvent,
#   without sending anything to the venue.
# Codes absent from this file are absent from the IBKR published table (e.g. 10256, 10257, 10349, 2127, and
#   warningCodes members 492/10167). Absence is not evidence a code does not exist, and codes in
#   [2100,2200) are warning-grade by the blanket rule even when unlisted. See error-codes-and-verdicts.md.
code	ib_async_grade	message
10022	fatal	Invalid Leg Prio API.
10023	fatal	Invalid combo display size API.
10024	fatal	Invalid don't start next legin API.
10025	fatal	Invalid leg2 to Mkt time1 API.
10026	fatal	Invalid leg2 to Mkt time2 API.
10027	fatal	Invalid combo routing tag API.
10089	fatal	API data requires subscription
10090	fatal	Part of requested market data is not subscribed.
10091	fatal	Part of requested market data requires additional subscription for API
10147	fatal	Order to be canceled was not found.
10148	fatal	OrderId that needs to be cancelled can not be cancelled, state:
10186	fatal	Requested market data is not subscribed. Delayed market data is not enabled
10187	fatal	Failed to request historical ticks:No market data permissions
10189	fatal	Failed to request tick-by-tick data. Invalid Real-time Query
10197	fatal	No market data during competing session
10225	fatal	Bust event occurred, current subscription is deactivated. Please resubscribe real-time bars immediately
10230	fatal	You have unsaved FA changes. Please retry 'request FA' operation later, when 'replace FA' operation is complete
10231	fatal	The following Groups and/or Profiles contain invalid accounts:
10233	fatal	Defaults were inherited from CASH preset during the creation of this order.
10234	fatal	The Decision Maker field is required and not set for this order (non-desktop).
10235	fatal	The Decision Maker field is required and not set for this order (ibbot).
10236	fatal	Child has to be AON if parent order is AON
10237	fatal	All or None ticket can route entire unfilled size only
10238	fatal	Some error occured during communication with Advisor Setup web-app
10239	fatal	This order will affect one or more accounts that are flagged because they do not fit the required risk score criteria prescribed by the group/profile/model allocation.
10240	fatal	You must enter a valid Price Cap.
10241	fatal	Order Quantity is expressed in monetary terms. Modification is not supported via API. Please use desktop version to revise this order.
10242	fatal	Fractional-sized order cannot be modified via API. Please use desktop version to revise this order.
10243	fatal	Fractional-sized order cannot be placed via API. Please use desktop version to place this order.
10244	fatal	Cash Quantity cannot be used for this order
10245	fatal	This financial instrument does not support fractional shares trading
10246	fatal	This order doesn't support fractional shares trading
10247	fatal	Only IB SmartRouting supports fractional shares
10248	fatal	doesn't have permission to trade fractional shares
10249	fatal	=""> order doesn't support fractional shares
10250	fatal	The size does not conform to the minimum variation of for this contract
10251	fatal	Fractional shares are not supported for allocation orders
10252	fatal	This non-close-position order doesn't support fractional shares trading
10253	fatal	Clear Away orders are not supported for multi-leg combo with attached hedge.
10254	fatal	Invalid Order: bond expired
10268	fatal	The 'EtradeOnly' order attribute is not supported
10269	fatal	The 'firmQuoteOnly' order attribute is not supported
10270	fatal	The 'nbboPriceCap' order attribute is not supported
10276	fatal	News feed is not allowed
10277	fatal	News feed permissions required
10278	fatal	Duplicate WSH metadata request
10279	fatal	Failed request WSH metadata
10280	fatal	Failed cancel WSH metadata
10281	fatal	Duplicate WSH event data request
10282	fatal	WSH metadata not requested
10283	fatal	Fail request WSH event data
10284	fatal	Fail cancel WSH event data
10285	fatal	Your API version does not support fractional sizing rules. Please upgrade to at least version 163
10286	fatal	%s field cannot contain more than %s decimals.
10287	fatal	Cryptocurrency order is not confirmed
10288	fatal	Market order confirmation dialog title for cryptocurrencies
10289	fatal	You must set Cash Quantity for this order
10290	fatal	This order only supports CashQty trading.
10291	fatal	Orders to harvest Capital Loss must use the DAY time-in-force.
10292	fatal	Order type/action restriction
10293	fatal	Cryptocurrency Cash Quantity order cannot specify size
10294	fatal	Cash quantity set on the order does not match total monetary amount of the Group.
10295	fatal	Only daily resolution supported for Schedule requests
10296	fatal	The Smart Routing features "Seek Price Improvement" (aka "Route to Dark Pools") and "Do not route to Dark Pools" are mutually exclusive. Enabling both will result in the order being rejected. Please choose only one of these commands.%s
10297	fatal	Not Held attribute is invalid for this order.
10298	fatal	Cannot trade an instrument with currency different from model currency
10299	fatal	Expected what to show is %s
10300	fatal	%s: The date
10301	fatal	%s: The date
10302	fatal	Min trade trade quantity is not allowed for this order
10303	fatal	Invalid min trade quantity value (%s). It must be a positive integer
10304	fatal	Minimum Competing Size value must be non-negative.
10305	fatal	Compete against best bid or offer Offset dollar value must be positive
10306	fatal	Mid offsets are not allowed
10307	fatal	Invalid MidOffsetAtWhole and/or MidOffsetAtHalf attribute values
10308	fatal	Revision to Post to ATS value presence is not allowed.
10309	fatal	Invalid WSH event data request.
10310	fatal	The Solicited field should be used for orders initiated or recommended by the broker or advisor that were approved by the client by phone or email.
10311	fatal	This order will be directly routed to %s. Direct routed orders may result in higher trade fees.
10312	fatal	The order type Volatility is currently not supported for this combination of financial instrument and account type
10314	fatal	%s: The date
10315	fatal	%s: The time entered is invalid. The correct format is hh:mm:ss. E.g.: 15:00:00 in UTC. No date should be specified
10316	fatal	Trigger Outside RTH was deprecated. Please upgrade your API Client software to submit order with Outside RTH attribute instead.
10317	fatal	The Cash Quantity size for the below contracts does not conform to minimum variation of %s
10318	fatal	This order doesn't support fractional quantity trading
10319	fatal	Placing orders for Municipal Bonds via API is currently disabled
10321	fatal	Placing orders for Municipal Bonds is currently disabled for attached and OCA orders.
10322	fatal	This API request for All is not supported for Dynamic Account Addition
10324	fatal	Invalid parameters for OCA group for exchange %s. Overfill Protection is implied.
10325	fatal	OCA group is not supported
10326	fatal	OCA group revision is not allowed
10327	fatal	OCA group type revision is not allowed
10328	fatal	Connection lost
10329	fatal	This order will be directly routed to %s.
10330	fatal	The expiry date/time format is invalid.\nThe correct format is yyyyMMdd HH:mm:ss (operator or instrument time zone) or yyyyMMdd-HH:mm:ss (UTC time zone).
10331	fatal	Any stop warning
10332	fatal	Cryptocurrency volatility warning
10333	fatal	Option Exercise at-the-money warning
10334	fatal	Confirm Omnibus Order Account
10335	fatal	Order presets cannot be applied as configured. Please review %s Settings and Rapid Order Entry Configuration for consistency.
10336	fatal	Per-leg executing broker configuration is not supported
10337	fatal	Misc options key=%s is invalid in %s request. Valid keys are: %s
10338	fatal	Misc options value=%s is invalid for key=%s in %s request. Valid values are: %s
10339	fatal	Setting end date/time for continuous future security type is not allowed
10340	fatal	The following order attribute is not supported: %s
10341	fatal	Parent order id cannot be modified
10342	fatal	The 'ImbalanceOnly' order attribute may not be specified for this order.
10343	fatal	Selling Event Contracts is neither allowed directly nor as an attached profit taker.
10344	fatal	Price value must be between 0.02 and 0.99 with a maximum of two decimal places.
10345	fatal	You cannot trade a %s
10346	fatal	Market data for %s cannot be delivered because ticker for the same financial instrument is displayed on %s
10347	fatal	This security has limited liquidity. If you choose to trade this security
